ClassName,TotalConditions,CoveredConditions,ConditionCoverage
com.fasterxml.jackson.databind.introspect.AnnotatedMethod,10,6,60.0
com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap,16,13,81.25
com.fasterxml.jackson.databind.introspect.AnnotatedParameter,6,4,66.67
com.fasterxml.jackson.databind.introspect.AnnotatedWithParams,16,10,62.5
com.fasterxml.jackson.databind.introspect.AnnotationIntrospectorPair,188,0,0.0
com.fasterxml.jackson.databind.introspect.AnnotationMap,28,23,82.14
com.fasterxml.jackson.databind.introspect.BasicBeanDescription,128,71,55.47
com.fasterxml.jackson.databind.introspect.BasicClassIntrospector,26,21,80.77
com.fasterxml.jackson.databind.introspect.BeanPropertyDefinition,4,2,50.0
com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector,232,214,92.24
com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector,276,233,84.42
com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder,208,165,79.33
com.fasterxml.jackson.databind.introspect.VisibilityChecker,33,25,75.76
com.fasterxml.jackson.databind.JavaType,24,19,79.17
com.fasterxml.jackson.databind.JsonMappingException,36,23,63.89
com.fasterxml.jackson.databind.JsonNode,42,40,95.24
com.fasterxml.jackson.databind.JsonSerializer,6,0,0.0
com.fasterxml.jackson.databind.jsontype.impl.StdSubtypeResolver,42,38,90.48
com.fasterxml.jackson.databind.MappingJsonFactory,4,3,75.0
com.fasterxml.jackson.databind.node.BaseJsonNode,2,1,50.0
com.fasterxml.jackson.databind.node.BigIntegerNode,16,12,75.0
com.fasterxml.jackson.databind.node.DecimalNode,14,12,85.71
com.fasterxml.jackson.databind.node.DoubleNode,16,13,81.25
com.fasterxml.jackson.databind.node.FloatNode,16,11,68.75
com.fasterxml.jackson.databind.node.IntNode,14,13,92.86
com.fasterxml.jackson.databind.node.JsonNodeFactory,20,2,10.0
com.fasterxml.jackson.databind.node.LongNode,14,13,92.86
com.fasterxml.jackson.databind.node.NullNode,2,1,50.0
com.fasterxml.jackson.databind.node.ObjectNode,84,65,77.38
com.fasterxml.jackson.databind.node.ShortNode,10,5,50.0
com.fasterxml.jackson.databind.node.TreeTraversingParser,77,52,67.53
com.fasterxml.jackson.databind.ObjectMapper,180,105,58.33
com.fasterxml.jackson.databind.ObjectReader,156,57,36.54
com.fasterxml.jackson.databind.ObjectWriter,84,37,44.05
com.fasterxml.jackson.databind.ser.BasicSerializerFactory,200,153,76.5
com.fasterxml.jackson.databind.ser.BeanPropertyWriter,104,65,62.5
com.fasterxml.jackson.databind.ser.BeanSerializer,10,7,70.0
com.fasterxml.jackson.databind.ser.BeanSerializerBuilder,12,7,58.33
com.fasterxml.jackson.databind.ser.BeanSerializerFactory,144,135,93.75
com.fasterxml.jackson.databind.ser.ContainerSerializer,8,6,75.0
com.fasterxml.jackson.databind.ser.DefaultSerializerProvider,74,45,60.81
com.fasterxml.jackson.databind.ser.impl.BeanAsArraySerializer,22,11,50.0
com.fasterxml.jackson.databind.ser.impl.IndexedStringListSerializer,34,26,76.47
com.fasterxml.jackson.databind.ser.impl.JsonSerializerMap,14,13,92.86
com.fasterxml.jackson.databind.ser.impl.PropertyBasedObjectIdGenerator,8,4,50.0
com.fasterxml.jackson.databind.ser.impl.PropertySerializerMap,12,11,91.67
com.fasterxml.jackson.databind.ser.impl.ReadOnlyClassToSerializerMap,8,7,87.5
com.fasterxml.jackson.databind.ser.impl.StringArraySerializer,38,24,63.16
com.fasterxml.jackson.databind.ser.impl.StringCollectionSerializer,36,15,41.67
com.fasterxml.jackson.databind.ser.impl.UnknownSerializer,4,3,75.0
com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanPropertyWriter,28,12,42.86
com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanSerializer,4,2,50.0
com.fasterxml.jackson.databind.ser.PropertyBuilder,48,38,79.17
com.fasterxml.jackson.databind.ser.SerializerCache,32,23,71.88
com.fasterxml.jackson.databind.ser.std.ArraySerializerBase,4,3,75.0
com.fasterxml.jackson.databind.ser.std.BeanSerializerBase,196,145,73.98
com.fasterxml.jackson.databind.ser.std.BooleanSerializer,4,0,0.0
com.fasterxml.jackson.databind.ser.std.CalendarSerializer,8,2,25.0
com.fasterxml.jackson.databind.ser.std.DateSerializer,8,7,87.5
com.fasterxml.jackson.databind.ser.std.DateTimeSerializerBase,36,10,27.78
com.fasterxml.jackson.databind.ser.std.EnumMapSerializer,98,34,34.69
com.fasterxml.jackson.databind.ser.std.EnumSerializer,46,23,50.0
com.fasterxml.jackson.databind.ser.std.InetAddressSerializer,4,3,75.0
com.fasterxml.jackson.databind.ser.std.JsonValueSerializer,58,27,46.55
com.fasterxml.jackson.databind.ser.std.MapSerializer,136,89,65.44
com.fasterxml.jackson.databind.ser.std.NumberSerializers,32,5,15.62
com.fasterxml.jackson.databind.ser.std.ObjectArraySerializer,94,49,52.13
com.fasterxml.jackson.databind.ser.std.SerializableSerializer,14,4,28.57
com.fasterxml.jackson.databind.ser.std.SqlDateSerializer,4,0,0.0
com.fasterxml.jackson.databind.ser.std.SqlTimeSerializer,4,0,0.0
com.fasterxml.jackson.databind.ser.std.StaticListSerializerBase,4,2,50.0
com.fasterxml.jackson.databind.ser.std.StdDelegatingSerializer,20,9,45.0
com.fasterxml.jackson.databind.ser.std.StdJdkSerializers,4,0,0.0
com.fasterxml.jackson.databind.ser.std.StdSerializer,60,28,46.67
com.fasterxml.jackson.databind.ser.std.StringSerializer,6,2,33.33
com.fasterxml.jackson.databind.ser.std.ToStringSerializer,8,0,0.0
com.fasterxml.jackson.databind.SerializationConfig,62,32,51.61
com.fasterxml.jackson.databind.SerializerProvider,70,48,68.57
com.fasterxml.jackson.databind.type.ArrayType,26,13,50.0
com.fasterxml.jackson.databind.type.ClassKey,8,8,100.0
com.fasterxml.jackson.databind.type.CollectionLikeType,22,12,54.55
com.fasterxml.jackson.databind.type.CollectionType,6,4,66.67
com.fasterxml.jackson.databind.type.MapLikeType,32,15,46.88
com.fasterxml.jackson.databind.type.MapType,10,6,60.0
com.fasterxml.jackson.databind.type.SimpleType,62,42,67.74
com.fasterxml.jackson.databind.type.TypeBase,28,1,3.57
com.fasterxml.jackson.databind.type.TypeBindings,86,59,68.6
com.fasterxml.jackson.databind.type.TypeFactory,188,134,71.28
com.fasterxml.jackson.databind.type.TypeParser,24,17,70.83
com.fasterxml.jackson.databind.util.ArrayBuilders,62,39,62.9
com.fasterxml.jackson.databind.util.ClassUtil,166,76,45.78
com.fasterxml.jackson.databind.util.LRUMap,2,2,100.0
com.fasterxml.jackson.databind.util.RootNameLookup,8,8,100.0
com.fasterxml.jackson.databind.util.SimpleBeanPropertyDefinition,30,11,36.67
com.fasterxml.jackson.databind.util.StdDateFormat,78,61,78.21
com.fasterxml.jackson.databind.util.TokenBuffer,222,105,47.3
