ClassName,TotalMutants,KilledMutants,MutationScore
com.fasterxml.jackson.databind.JavaType,49,24,63.2
com.fasterxml.jackson.databind.JsonDeserializer,1,1,100.0
com.fasterxml.jackson.databind.JsonMappingException,61,14,26.9
com.fasterxml.jackson.databind.JsonNode,62,50,98.0
com.fasterxml.jackson.databind.JsonSerializer,7,1,100.0
com.fasterxml.jackson.databind.jsontype.impl.StdSubtypeResolver,44,35,79.5
com.fasterxml.jackson.databind.MapperFeature,19,19,100.0
com.fasterxml.jackson.databind.MappingJsonFactory,4,3,75.0
com.fasterxml.jackson.databind.node.BaseJsonNode,1,1,100.0
com.fasterxml.jackson.databind.node.BigIntegerNode,36,27,77.1
com.fasterxml.jackson.databind.node.DecimalNode,36,27,77.1
com.fasterxml.jackson.databind.node.DoubleNode,36,28,77.8
com.fasterxml.jackson.databind.node.FloatNode,31,16,69.6
com.fasterxml.jackson.databind.node.IntNode,50,32,64.0
com.fasterxml.jackson.databind.node.JsonNodeFactory,20,2,50.0
com.fasterxml.jackson.databind.node.LongNode,31,24,80.0
com.fasterxml.jackson.databind.node.NullNode,2,2,100.0
com.fasterxml.jackson.databind.node.ObjectNode,120,79,86.8
com.fasterxml.jackson.databind.node.ShortNode,18,6,85.7
com.fasterxml.jackson.databind.node.TreeTraversingParser,105,60,65.2
com.fasterxml.jackson.databind.node.ValueNode,7,2,100.0
com.fasterxml.jackson.databind.ObjectReader,166,49,57.6
com.fasterxml.jackson.databind.ObjectWriter,98,35,53.0
com.fasterxml.jackson.databind.ser.BeanPropertyWriter,115,60,76.9
com.fasterxml.jackson.databind.ser.BeanSerializer,19,13,68.4
com.fasterxml.jackson.databind.ser.BeanSerializerBuilder,29,12,60.0
com.fasterxml.jackson.databind.ser.ContainerSerializer,7,4,57.1
com.fasterxml.jackson.databind.ser.DefaultSerializerProvider,95,45,70.3
com.fasterxml.jackson.databind.ser.impl.BeanAsArraySerializer,43,18,58.1
com.fasterxml.jackson.databind.ser.impl.IndexedStringListSerializer,64,30,61.2
com.fasterxml.jackson.databind.ser.impl.JsonSerializerMap,46,24,63.2
com.fasterxml.jackson.databind.ser.impl.PropertyBasedObjectIdGenerator,5,0,0.0
com.fasterxml.jackson.databind.ser.impl.PropertySerializerMap,32,22,68.8
com.fasterxml.jackson.databind.ser.impl.ReadOnlyClassToSerializerMap,16,10,71.4
com.fasterxml.jackson.databind.ser.impl.StringArraySerializer,56,28,56.0
com.fasterxml.jackson.databind.ser.impl.StringCollectionSerializer,54,12,35.3
com.fasterxml.jackson.databind.ser.impl.TypeWrappedSerializer,2,1,100.0
com.fasterxml.jackson.databind.ser.impl.UnknownSerializer,11,6,66.7
com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanPropertyWriter,32,13,59.1
com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanSerializer,7,4,100.0
com.fasterxml.jackson.databind.ser.PropertyBuilder,52,42,85.7
com.fasterxml.jackson.databind.ser.std.ArraySerializerBase,13,10,83.3
com.fasterxml.jackson.databind.ser.std.BooleanSerializer,3,1,100.0
com.fasterxml.jackson.databind.ser.std.CalendarSerializer,14,4,80.0
com.fasterxml.jackson.databind.ser.std.DateSerializer,14,11,91.7
com.fasterxml.jackson.databind.ser.std.DateTimeSerializerBase,49,12,80.0
com.fasterxml.jackson.databind.ser.std.EnumMapSerializer,115,23,37.1
com.fasterxml.jackson.databind.ser.std.EnumSerializer,47,14,48.3
com.fasterxml.jackson.databind.ser.std.InetAddressSerializer,20,14,82.4
com.fasterxml.jackson.databind.ser.std.JsonValueSerializer,86,23,37.1
com.fasterxml.jackson.databind.ser.std.MapSerializer,168,84,60.0
com.fasterxml.jackson.databind.ser.std.NonTypedScalarSerializerBase,1,1,100.0
com.fasterxml.jackson.databind.ser.std.NullSerializer,2,1,100.0
com.fasterxml.jackson.databind.ser.std.NumberSerializers,54,19,76.0
com.fasterxml.jackson.databind.ser.std.ObjectArraySerializer,127,54,54.5
com.fasterxml.jackson.databind.ser.std.SerializableSerializer,21,5,62.5
com.fasterxml.jackson.databind.ser.std.SqlDateSerializer,5,1,100.0
com.fasterxml.jackson.databind.ser.std.SqlTimeSerializer,5,0,0.0
com.fasterxml.jackson.databind.ser.std.StaticListSerializerBase,13,4,40.0
com.fasterxml.jackson.databind.ser.std.StdDelegatingSerializer,17,7,58.3
com.fasterxml.jackson.databind.ser.std.StdJdkSerializers,39,15,60.0
com.fasterxml.jackson.databind.ser.std.StdScalarSerializer,5,3,100.0
com.fasterxml.jackson.databind.ser.std.StdSerializer,57,13,27.7
com.fasterxml.jackson.databind.ser.std.StringSerializer,13,6,54.5
com.fasterxml.jackson.databind.ser.std.TimeZoneSerializer,4,4,100.0
com.fasterxml.jackson.databind.ser.std.TokenBufferSerializer,6,4,100.0
com.fasterxml.jackson.databind.ser.std.ToStringSerializer,18,4,100.0
com.fasterxml.jackson.databind.SerializationConfig,92,32,56.1
com.fasterxml.jackson.databind.SerializationFeature,22,20,90.9
com.fasterxml.jackson.databind.SerializerProvider,89,41,61.2
com.fasterxml.jackson.databind.type.ArrayType,37,14,66.7
com.fasterxml.jackson.databind.type.ClassKey,17,12,100.0
com.fasterxml.jackson.databind.type.CollectionLikeType,41,20,80.0
com.fasterxml.jackson.databind.type.CollectionType,6,3,50.0
com.fasterxml.jackson.databind.type.MapLikeType,62,28,73.7
com.fasterxml.jackson.databind.type.MapType,8,4,57.1
com.fasterxml.jackson.databind.type.TypeBase,41,3,100.0
com.fasterxml.jackson.databind.type.TypeParser,30,21,75.0
com.fasterxml.jackson.databind.util.ArrayBuilders,125,69,71.1
com.fasterxml.jackson.databind.util.ClassUtil,193,91,80.5
com.fasterxml.jackson.databind.util.LRUMap,8,3,37.5
com.fasterxml.jackson.databind.util.RootNameLookup,13,9,69.2
com.fasterxml.jackson.databind.util.SimpleBeanPropertyDefinition,32,10,62.5
com.fasterxml.jackson.databind.util.StdDateFormat,255,191,77.0
com.fasterxml.jackson.databind.util.TokenBuffer,420,172,67.2
