ClassName,TotalConditions,CoveredConditions,ConditionCoverage
com.google.javascript.jscomp.LineNumberCheck,8,7,87.5
com.google.javascript.jscomp.LinkedFlowScope,112,95,84.82
com.google.javascript.jscomp.LiveVariablesAnalysis,54,51,94.44
com.google.javascript.jscomp.LoggerErrorManager,9,8,88.89
com.google.javascript.jscomp.MakeDeclaredNamesUnique,107,99,92.52
com.google.javascript.jscomp.MaybeReachingVariableUse,52,48,92.31
com.google.javascript.jscomp.MemoizedScopeCreator,10,6,60.0
com.google.javascript.jscomp.MinimizeExitPoints,69,63,91.3
com.google.javascript.jscomp.MustBeReachingVariableDef,107,99,92.52
com.google.javascript.jscomp.NameGenerator,26,22,84.62
com.google.javascript.jscomp.NodeTraversal,106,83,78.3
com.google.javascript.jscomp.NodeUtil,1058,942,89.04
com.google.javascript.jscomp.Normalize,190,172,90.53
com.google.javascript.jscomp.OptimizeArgumentsArray,38,37,97.37
com.google.javascript.jscomp.OptimizeCalls,4,3,75.0
com.google.javascript.jscomp.parsing.Config,4,4,100.0
com.google.javascript.jscomp.parsing.IRFactory,337,287,85.16
com.google.javascript.jscomp.parsing.JsDocInfoParser,643,570,88.65
com.google.javascript.jscomp.parsing.JsDocTokenStream,134,95,70.9
com.google.javascript.jscomp.parsing.ParserRunner,14,14,100.0
com.google.javascript.jscomp.parsing.TypeSafeDispatcher,56,51,91.07
com.google.javascript.jscomp.PassConfig,20,1,5.0
com.google.javascript.jscomp.PeepholeCollectPropertyAssignments,99,80,80.81
com.google.javascript.jscomp.PeepholeFoldConstants,543,466,85.82
com.google.javascript.jscomp.PeepholeOptimizationsPass,42,41,97.62
com.google.javascript.jscomp.PeepholeRemoveDeadCode,292,268,91.78
com.google.javascript.jscomp.PeepholeReplaceKnownMethods,281,244,86.83
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,530,486,91.7
com.google.javascript.jscomp.PhaseOptimizer,68,60,88.24
com.google.javascript.jscomp.PrepareAst,51,40,78.43
com.google.javascript.jscomp.PrintStreamErrorManager,12,7,58.33
com.google.javascript.jscomp.ProcessClosurePrimitives,300,269,89.67
com.google.javascript.jscomp.ProcessDefines,108,103,95.37
com.google.javascript.jscomp.ProcessTweaks,86,83,96.51
com.google.javascript.jscomp.ReferenceCollectingCallback,149,138,92.62
com.google.javascript.jscomp.RemoveUnusedVars,287,259,90.24
com.google.javascript.jscomp.RenameLabels,27,23,85.19
com.google.javascript.jscomp.RenameVars,122,117,95.9
com.google.javascript.jscomp.ReorderConstantExpression,10,10,100.0
com.google.javascript.jscomp.ReplaceCssNames,34,32,94.12
com.google.javascript.jscomp.Result,2,2,100.0
com.google.javascript.jscomp.RhinoErrorReporter,8,7,87.5
com.google.javascript.jscomp.Scope,78,60,76.92
com.google.javascript.jscomp.ScopedAliases,124,114,91.94
com.google.javascript.jscomp.ShadowVariables,54,52,96.3
com.google.javascript.jscomp.ShowByPathWarningsGuard,6,3,50.0
com.google.javascript.jscomp.SourceFile,48,25,52.08
com.google.javascript.jscomp.SourceMap,34,24,70.59
com.google.javascript.jscomp.StatementFusion,35,32,91.43
com.google.javascript.jscomp.StrictModeCheck,79,76,96.2
