ClassName,TotalConditions,CoveredConditions,ConditionCoverage
org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,28,28,100.0
org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolator,34,31,91.18
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,80,70,87.5
org.apache.commons.math3.analysis.interpolation.LinearInterpolator,8,8,100.0
org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolator,6,6,100.0
org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator,28,25,89.29
org.apache.commons.math3.analysis.interpolation.SplineInterpolator,12,12,100.0
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolator,54,50,92.59
org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction,32,24,75.0
org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolator,4,2,50.0
org.apache.commons.math3.util.Precision,103,83,80.58
org.apache.commons.math3.util.MultidimensionalCounter,32,29,90.62
org.apache.commons.math3.util.Incrementor,8,7,87.5
org.apache.commons.math3.util.OpenIntToDoubleHashMap,84,80,95.24
org.apache.commons.math3.util.OpenIntToFieldHashMap,84,80,95.24
org.apache.commons.math3.util.MathArrays,181,125,69.06
org.apache.commons.math3.util.Pair,20,15,75.0
org.apache.commons.math3.util.FastMathCalc,62,0,0.0
org.apache.commons.math3.util.FastMath,790,738,93.42
org.apache.commons.math3.util.ResizableDoubleArray,84,76,90.48
org.apache.commons.math3.util.MathUtils,62,40,64.52
org.apache.commons.math3.util.ContinuedFraction,16,9,56.25
org.apache.commons.math3.util.IterationManager,8,8,100.0
org.apache.commons.math3.util.CompositeFormat,28,27,96.43
org.apache.commons.math3.util.TransformerMap,20,12,60.0
org.apache.commons.math3.util.Decimal64,4,2,50.0
org.apache.commons.math3.util.DefaultTransformer,6,6,100.0
org.apache.commons.math3.util.BigReal,4,4,100.0
org.apache.commons.math3.util.ArithmeticUtils,252,244,96.83
org.apache.commons.math3.complex.ComplexFormat,38,21,55.26
org.apache.commons.math3.complex.RootsOfUnity,24,19,79.17
org.apache.commons.math3.complex.Quaternion,32,26,81.25
org.apache.commons.math3.complex.Complex,170,156,91.76
org.apache.commons.math3.complex.ComplexUtils,4,4,100.0
org.apache.commons.math3.optimization.LeastSquaresConverter,18,15,83.33
org.apache.commons.math3.optimization.PointValuePair,6,4,66.67
org.apache.commons.math3.optimization.SimpleValueChecker,4,4,100.0
org.apache.commons.math3.optimization.SimpleValueChecker,4,4,100.0
org.apache.commons.math3.optimization.fitting.CurveFitter,16,7,43.75
org.apache.commons.math3.optimization.fitting.HarmonicFitter,30,28,93.33
org.apache.commons.math3.optimization.fitting.GaussianFitter,54,33,61.11
org.apache.commons.math3.optimization.direct.AbstractSimplex,54,41,75.93
org.apache.commons.math3.optimization.direct.SimplexOptimizer,12,11,91.67
org.apache.commons.math3.optimization.direct.BOBYQAOptimizer,624,523,83.81
org.apache.commons.math3.optimization.direct.NelderMeadSimplex,32,31,96.88
org.apache.commons.math3.optimization.direct.MultivariateFunctionMappingAdapter,18,16,88.89
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer,24,23,95.83
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateVectorOptimizer,10,6,60.0
org.apache.commons.math3.optimization.direct.CMAESOptimizer,272,213,78.31
org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapter,20,17,85.0
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer,6,3,50.0
org.apache.commons.math3.optimization.direct.PowellOptimizer,34,31,91.18
org.apache.commons.math3.optimization.direct.MultiDirectionalSimplex,8,8,100.0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,202,182,90.1
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,22,19,86.36
org.apache.commons.math3.optimization.general.GaussNewtonOptimizer,18,17,94.44
org.apache.commons.math3.optimization.general.NonLinearConjugateGradientOptimizer,38,31,81.58
org.apache.commons.math3.optimization.BaseMultivariateVectorMultiStartOptimizer,22,17,77.27
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer,2,1,50.0
org.apache.commons.math3.optimization.linear.LinearConstraint,12,5,41.67
org.apache.commons.math3.optimization.linear.SimplexSolver,54,54,100.0
org.apache.commons.math3.optimization.linear.SimplexTableau,128,117,91.41
org.apache.commons.math3.optimization.linear.LinearObjectiveFunction,8,4,50.0
org.apache.commons.math3.optimization.linear.Relationship,3,3,100.0
org.apache.commons.math3.optimization.PointVectorValuePair,12,8,66.67
org.apache.commons.math3.optimization.SimplePointChecker,6,5,83.33
org.apache.commons.math3.optimization.SimpleVectorValueChecker,6,6,100.0
org.apache.commons.math3.optimization.univariate.BrentOptimizer,74,69,93.24
org.apache.commons.math3.optimization.univariate.UnivariateMultiStartOptimizer,22,15,68.18
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,4,2,50.0
org.apache.commons.math3.optimization.univariate.SimpleUnivariateValueChecker,4,3,75.0
org.apache.commons.math3.optimization.univariate.BracketFinder,46,30,65.22
org.apache.commons.math3.optimization.BaseMultivariateMultiStartOptimizer,22,12,54.55
org.apache.commons.math3.linear.SingularValueDecomposition,190,170,89.47
org.apache.commons.math3.linear.EigenDecomposition,212,183,86.32
org.apache.commons.math3.linear.FieldLUDecomposition,108,104,96.3
org.apache.commons.math3.linear.RealMatrixFormat,44,41,93.18
org.apache.commons.math3.linear.MatrixUtils,132,93,70.45
org.apache.commons.math3.linear.OpenMapRealVector,134,115,85.82
org.apache.commons.math3.linear.TriDiagonalTransformer,46,46,100.0
org.apache.commons.math3.linear.AbstractRealMatrix,194,172,88.66
org.apache.commons.math3.linear.Array2DRowRealMatrix,96,86,89.58
org.apache.commons.math3.linear.BlockFieldMatrix,264,230,87.12
org.apache.commons.math3.linear.Array2DRowFieldMatrix,92,83,90.22
org.apache.commons.math3.linear.IterativeLinearSolver,6,6,100.0
org.apache.commons.math3.linear.ArrayRealVector,144,134,93.06
org.apache.commons.math3.linear.ArrayFieldVector,130,89,68.46
org.apache.commons.math3.linear.LUDecomposition,92,92,100.0
org.apache.commons.math3.linear.ConjugateGradient,18,15,83.33
org.apache.commons.math3.linear.OpenMapRealMatrix,24,20,83.33
