ClassName,TotalMutants,KilledMutants,MutationScore
org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction,77,36,46.8
org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolator,12,3,25.0
org.apache.commons.math3.util.Precision,316,233,82.0
org.apache.commons.math3.util.Incrementor,23,20,87.0
org.apache.commons.math3.util.OpenIntToDoubleHashMap,340,243,71.5
org.apache.commons.math3.util.OpenIntToFieldHashMap,340,234,69.6
org.apache.commons.math3.util.MathArrays,1555,1066,80.1
org.apache.commons.math3.util.Pair,33,12,42.9
org.apache.commons.math3.util.FastMathCalc,1509,0,0.0
org.apache.commons.math3.util.ResizableDoubleArray,432,322,74.5
org.apache.commons.math3.util.MathUtils,236,116,54.2
org.apache.commons.math3.util.ContinuedFraction,76,63,86.3
org.apache.commons.math3.util.IterationManager,8,6,85.7
org.apache.commons.math3.util.CompositeFormat,90,76,84.4
org.apache.commons.math3.util.TransformerMap,34,12,66.7
org.apache.commons.math3.util.Decimal64,41,24,80.0
org.apache.commons.math3.util.DefaultTransformer,4,2,100.0
org.apache.commons.math3.util.BigReal,6,3,75.0
org.apache.commons.math3.complex.ComplexFormat,89,46,58.2
org.apache.commons.math3.complex.RootsOfUnity,165,110,73.8
org.apache.commons.math3.complex.Quaternion,411,329,82.9
org.apache.commons.math3.complex.Complex,698,578,83.0
org.apache.commons.math3.complex.ComplexUtils,20,20,100.0
org.apache.commons.math3.optimization.LeastSquaresConverter,41,34,82.9
org.apache.commons.math3.optimization.PointValuePair,6,0,0.0
org.apache.commons.math3.optimization.SimpleValueChecker,18,16,88.9
org.apache.commons.math3.optimization.fitting.CurveFitter,40,17,100.0
org.apache.commons.math3.optimization.fitting.PolynomialFitter,8,6,75.0
org.apache.commons.math3.optimization.fitting.HarmonicFitter,365,231,63.3
org.apache.commons.math3.optimization.fitting.GaussianFitter,227,146,74.5
org.apache.commons.math3.optimization.AbstractConvergenceChecker,12,9,75.0
org.apache.commons.math3.optimization.direct.AbstractSimplex,212,144,74.2
org.apache.commons.math3.optimization.direct.SimplexOptimizer,28,23,82.1
org.apache.commons.math3.optimization.direct.NelderMeadSimplex,183,154,85.1
org.apache.commons.math3.optimization.direct.MultivariateFunctionMappingAdapter,55,37,68.5
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer,44,31,70.5
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateVectorOptimizer,15,9,60.0
org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapter,65,40,62.5
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer,10,7,70.0
org.apache.commons.math3.optimization.direct.PowellOptimizer,229,118,52.0
org.apache.commons.math3.optimization.direct.MultiDirectionalSimplex,55,47,88.7
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,129,100,80.6
org.apache.commons.math3.optimization.general.AbstractDifferentiableOptimizer,1,0,0.0
org.apache.commons.math3.optimization.general.GaussNewtonOptimizer,63,52,83.9
org.apache.commons.math3.optimization.general.AbstractScalarDifferentiableOptimizer,2,1,100.0
org.apache.commons.math3.optimization.general.NonLinearConjugateGradientOptimizer,179,152,91.6
org.apache.commons.math3.optimization.BaseMultivariateVectorMultiStartOptimizer,73,22,32.4
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer,12,8,66.7
org.apache.commons.math3.optimization.linear.LinearConstraint,40,8,50.0
org.apache.commons.math3.optimization.linear.SimplexSolver,142,94,66.2
org.apache.commons.math3.optimization.linear.SimplexTableau,531,418,81.6
org.apache.commons.math3.optimization.linear.LinearObjectiveFunction,24,10,62.5
org.apache.commons.math3.optimization.PointVectorValuePair,10,0,0.0
org.apache.commons.math3.optimization.SimplePointChecker,24,19,79.2
org.apache.commons.math3.optimization.SimpleVectorValueChecker,24,22,91.7
org.apache.commons.math3.optimization.univariate.BrentOptimizer,370,321,87.0
org.apache.commons.math3.optimization.univariate.UnivariateMultiStartOptimizer,79,43,57.3
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,24,22,91.7
org.apache.commons.math3.optimization.univariate.SimpleUnivariateValueChecker,18,13,72.2
org.apache.commons.math3.optimization.univariate.BracketFinder,281,90,36.4
org.apache.commons.math3.optimization.BaseMultivariateMultiStartOptimizer,54,23,51.1
org.apache.commons.math3.linear.FieldLUDecomposition,294,235,79.9
org.apache.commons.math3.linear.NonPositiveDefiniteMatrixException,3,0,0.0
org.apache.commons.math3.linear.RealMatrixFormat,109,86,79.6
org.apache.commons.math3.linear.OpenMapRealVector,366,210,70.0
org.apache.commons.math3.linear.TriDiagonalTransformer,389,346,88.9
org.apache.commons.math3.linear.DefaultRealMatrixChangingVisitor,2,0,0.0
org.apache.commons.math3.linear.AbstractRealMatrix,902,555,65.7
org.apache.commons.math3.linear.BlockFieldMatrix,2697,2086,85.4
org.apache.commons.math3.linear.Array2DRowFieldMatrix,342,191,59.0
org.apache.commons.math3.linear.IterativeLinearSolver,18,6,50.0
org.apache.commons.math3.linear.ArrayRealVector,605,471,81.3
org.apache.commons.math3.linear.MatrixDimensionMismatchException,8,8,100.0
org.apache.commons.math3.linear.ArrayFieldVector,458,220,62.5
org.apache.commons.math3.linear.LUDecomposition,275,229,83.3
org.apache.commons.math3.linear.ConjugateGradient,83,58,71.6
