ClassName,TotalMutants,KilledMutants,MutationScore
com.google.javascript.jscomp.OptimizeArgumentsArray,89,73,82.0
com.google.javascript.jscomp.OptimizeCalls,8,6,75.0
com.google.javascript.jscomp.parsing.Config,4,4,100.0
com.google.javascript.jscomp.PassConfig,38,3,50.0
com.google.javascript.jscomp.PeepholeCollectPropertyAssignments,166,120,78.4
com.google.javascript.jscomp.PeepholeReplaceKnownMethods,635,445,70.1
com.google.javascript.jscomp.PhaseOptimizer,146,95,67.4
com.google.javascript.jscomp.PrintStreamErrorManager,57,2,3.8
com.google.javascript.jscomp.ProcessDefines,162,129,79.6
com.google.javascript.jscomp.ProcessTweaks,99,92,93.9
com.google.javascript.jscomp.RenameLabels,60,44,73.3
com.google.javascript.jscomp.RenameVars,199,158,79.4
com.google.javascript.jscomp.ReorderConstantExpression,14,13,92.9
com.google.javascript.jscomp.ReplaceCssNames,59,56,96.6
com.google.javascript.jscomp.Result,4,3,75.0
com.google.javascript.jscomp.RhinoErrorReporter,25,14,58.3
com.google.javascript.jscomp.ScopedAliases,218,165,76.4
com.google.javascript.jscomp.ShadowVariables,58,45,77.6
com.google.javascript.jscomp.ShowByPathWarningsGuard,5,1,20.0
com.google.javascript.jscomp.SourceMap,70,39,57.4
com.google.javascript.jscomp.StatementFusion,42,37,88.1
